feature,importance
primary_type,0.4155789883892844
location_description,0.1514039497146969
district,0.14148983220459496
hour,0.13196368632833205
day_of_week,0.07852969238171972
month,0.056941151137299174
season,0.014439434758121214
domestic,0.00965326508595164
